query	Preferred_name
g9392	PRDX6.1
g9393	CRB2.1
g9394	g9394
g9395	g9395
g9396	UGT2A1.6
g9397	g9397
g9398	g9398
g9399	c5
g9400	g9400
g9401	c5.1
g9402	c5.2
g9403	ASS1
g9404	qor
g9405	g9405
g9406	POLRMT
g9407	COL7A1
g9408	MBLAC2
g9409	Cralbp.4
g9410	LRP4.1
g9411	qor.1
g9412	qor.2
g9413	SLC31A1.1
g9414	g9414
g9415	C9orf173
g9417	g9417
g9418	PSMB7
g9419	g9419
g9420	NEK6
g9421	LAMA3.3
g9422	g9422
g9424	F5.2
g9425	g9425
g9426	g9426
g9427	g9427
g9428	EHBP1L1
g9429	RAB14
g9431	BROX
g9432	g9432
g9433	g9433
g9434	MATN4
g9436	NUP145
g9437	g9437
g9438	g9438
g9439	g9439
g9440	g9440
g9441	FBXW5
g9442	FBXW5.1
g9443	BAG6
g9444	g9444
g9445	g9445
g9447	TTF1
g9448	g9448
g9449	DIO1.1
g9450	DIO2
g9451	DIO1.2
g9452	g9452
g9453	DIO1.3
g9454	DIO1.4
g9455	g9455
g9456	g9456
g9457	UCK2
g9458	FBXL6
g9459	FBXL6.1
g9460	AP3M2
g9461	TFAP2A
g9462	AIMP1
g9463	HDDC2
g9464	TSC1
g9466	TSPEAR.6
g9467	TSPEAR.7
g9468	TSPEAR.8
g9469	g9469
g9470	GPR98.2
g9471	C19orf24
g9474	HSPG2
g9475	TTLL6.1
g9476	CCBL2
g9477	g9477
g9478	TMEM223
g9479	HTR1F.10
g9480	HTR1F.11
g9481	g9481
g9482	LECT2
g9483	LECT2.1
g9484	LECT2.2
g9485	LECT2.3
g9486	g9486
g9487	g9487
g9489	g9489
g9491	g9491
g9492	g9492
g9493	g9493
g9495	LRP6.2
g9496	LRP2
g9497	g9497
g9498	CCNB1IP1
g9500	g9500
g9501	g9501
g9502	g9502
g9503	g9503
g9506	g9506
g9507	g9507
g9508	SVEP1.2
g9510	BCL10
g9511	NELFE
g9513	PKN2
g9515	g9515
g9516	RPP1
g9517	g9517
g9518	C5
g9520	GPR50.2
g9521	MFN2
g9522	g9522
g9523	MFN2.1
g9524	GPR50.3
g9525	MTNR1A.2
g9526	g9526
g9527	ADAMTS16.1
g9530	ATP6V1G1
g9531	PROSER1
g9532	RECQL5.1
g9533	SCYL3
g9534	CCDC18
g9535	g9535
g9536	g9536
g9537	g9537
g9538	g9538
g9539	g9539
g9540	g9540
g9541	g9541
g9542	g9542
g9543	GPR19.1
g9544	CLIP4
g9546	g9546
g9548	ANKEF1
g9549	PPIL1
g9551	g9551
g9552	g9552
g9553	MKKS
g9554	MRPS16
g9555	ECHDC1
g9557	g9557
g9558	g9558
g9559	g9559
g9561	g9561
g9565	MAN1B1
g9566	PKDCC
g9567	THOC3
g9570	CELSR3
g9571	ZMYM3
g9572	g9572
g9573	RPP1.1
g9574	g9574
g9575	g9575
g9576	C9orf172
g9577	C9orf172.1
g9578	unc.22.1
g9580	g9580
g9581	g9581
g9582	g9582
g9583	LHX3
g9584	g9584
g9585	g9585
g9586	LMO4
g9587	BMP6.1
g9588	GDF1
g9591	NUP214
g9592	g9592
g9593	g9593
g9594	HMCN1.3
g9595	g9595
g9596	PPAPDC2
g9597	VAMP4
g9598	AIF1
g9601	COL6A5
g9602	g9602
g9603	g9603
g9604	HGSNAT
g9605	HGSNAT.1
g9606	g9606
g9607	CSMD2
g9609	g9609
g9610	F5.3
g9611	SVEP1.3
g9613	CSMD2.1
g9614	KLK13.1
g9615	VWA5A
g9616	CSMD2.2
g9617	F5.4
g9618	g9618
g9619	CSMD1.1
g9620	g9620
g9621	CSMD3
g9622	FLCN
g9624	PTRH1
g9625	DNLZ
g9626	SULT1C3.8
g9627	SULT1C2
g9628	IFIH1
g9629	g9629
g9630	g9630
g9631	g9631
g9632	g9632
g9633	DENND1A
g9634	CENPA
g9637	TMCO1
g9638	MCMBP
g9639	g9639
g9641	g9641
g9642	g9642
g9643	g9643
g9644	g9644
g9645	g9645
g9646	g9646
g9647	g9647
g9648	CD163
g9649	g9649
g9653	g9653
g9654	g9654
g9655	GP9
g9656	ncs.3
g9657	NCS1
g9658	BORCS7
g9659	g9659
g9660	g9660
g9661	CELSR2.1
g9662	CELSR2.2
g9663	g9663
g9664	EHMT1
g9665	ACSM3.1
g9666	EOGT
g9667	ZCCHC3
g9670	g9670
g9673	g9673
g9675	ZCCHC3.1
g9676	g9676
g9677	g9677
g9678	g9678
g9679	g9679
g9681	g9681
g9682	g9682
g9683	g9683
g9684	g9684
g9685	g9685
g9686	FCN1.3
g9688	TNR.20
g9689	FIBCD1.9
g9691	FIBCD1.10
g9692	g9692
g9693	FIBCD1.11
g9694	g9694
g9695	g9695
g9696	FIBCD1.12
g9698	RABGEF1
g9699	g9699
g9700	g9700
g9701	g9701
g9702	FLRT2
g9704	g9704
g9707	g9707
g9709	g9709
g9710	g9710
g9716	g9716
g9717	g9717
g9718	IGFLR1
g9719	g9719
g9720	g9720
g9721	g9721
g9722	g9722
g9725	g9725
g9726	g9726
g9727	MRPS18B
g9728	PPP1R10
g9729	LMX1B
g9730	g9730
g9732	ZMYND19
g9733	NFKBIL1
g9734	EDF1
g9735	COF1
g9737	g9737
g9738	PHPT1
g9742	g9742
g9743	g9743
g9744	CRB2.2
g9745	g9745
g9746	g9746
g9747	Rdl.9
g9748	SNAPIN
g9749	ACADM
g9750	GFI1B.3
g9751	g9751
g9752	CNTRL
g9753	g9753
g9754	MRPS33
g9755	NUDT19
g9756	g9756
g9758	PLAT
g9759	g9759
g9760	CRB2.3
g9761	g9761
g9762	XAB2
g9763	PIN1
g9764	POLE3
g9765	g9765
g9766	LSM2
g9767	PSMB1
g9768	COQ4
g9769	DHPS
g9770	g9770
g9771	g9771
g9772	DNTTIP2
g9773	C9orf117
g9774	MICAL3
g9779	TFB2M
g9780	ATG5
g9781	g9781
g9782	g9782
g9783	INTS5
g9784	FAM73B
g9785	LPP
g9786	g9786
g9787	g9787
g9788	g9788
g9789	g9789
g9793	CP
g9794	C1orf52
g9795	C9orf78
g9796	QTRT1
g9797	GTF3C5
g9798	FCER2
g9799	TTC16
g9800	g9800
g9802	g9802
g9803	g9803
g9804	FAT1.1
g9805	g9805
g9806	SWT1
g9807	TLCD2.1
g9809	TNR.21
g9810	FIBCD1.13
g9812	XPA.1
g9813	PPAN
g9814	FLOT1
g9815	RPS5
g9816	CIAO1
g9817	CYCS
g9818	ARPC5
g9819	FIBCD1.14
g9820	HCRTR2.2
g9821	NKX2.3
g9822	g9822
g9823	BARHL1
g9824	g9824
g9825	g9825
g9826	g9826
g9827	BARHL1.1
g9829	g9829
g9830	g9830
g9832	g9832
g9837	g9837
g9838	Rdl.10
g9839	GLYATL3
g9840	EMG1
g9841	STKLD1
g9842	DOK4
g9843	g9843
g9844	g9844
g9845	g9845
g9846	STOM
g9847	STOM.1
g9848	STOM.2
g9849	nvd
g9850	g9850
g9851	SPCS2
g9852	ABCF1
g9853	STOM.3
g9854	TLCD2.2
g9855	TLCD2.3
g9856	g9856
g9858	g9858
g9859	COF1.1
g9860	MAP2K7
g9861	PTS.1
g9862	F5.5
g9863	g9863
g9868	g9868
g9870	g9870
g9871	g9871
g9872	g9872
g9873	IHH
g9874	STT3A
g9875	SMCHD1
g9877	SF3B6
g9878	TPD52
g9879	EFHC1
g9880	MRPL53
g9881	CLK2
g9882	TRANK1
g9883	g9883
g9884	TCEB3
g9885	FBXO10
g9886	TRAM1
g9887	PTDSS1
g9888	RPL11
g9889	g9889
g9890	g9890
g9891	CD5L.1
g9892	g9892
g9893	g9893
g9894	g9894
g9895	BTBD6
g9896	TUBGCP5
g9898	g9898
g9899	g9899
g9900	g9900
g9901	g9901
g9902	g9902
g9903	g9903
g9904	g9904
g9905	g9905
g9906	g9906
g9907	g9907
g9908	PDCD2L
g9909	g9909
g9910	g9910
g9911	MRPL1
g9912	FKBP14
g9913	g9913
g9914	g9914
g9915	g9915
g9916	g9916
g9917	TMEM205
g9918	tud
g9919	RPS8
g9920	MGST1
g9921	HIST1H3D.2
g9922	HIST3H3.4
g9923	H1F0.1
g9924	HMGXB3.1
g9925	HIST3H3.5
g9926	HIST1H3D.3
g9927	g9927
g9928	MGST1.1
g9929	MGST1.2
g9931	ANK2
g9932	DLG5
g9933	ABHD13
g9934	DRC1
g9936	KLHL18.7
g9939	IAH1
g9940	g9940
g9941	g9941
g9942	ale1
g9944	MBOAT1
g9945	MBOAT2
g9946	MBOAT2.1
g9947	g9947
g9949	POLR3K
g9950	GRM4
g9951	KCNA2.2
g9952	G2E3
g9953	g9953
g9954	LRRC9
g9955	EXT1
g9956	g9956
g9957	ASPH
g9958	DHX35
g9959	CLVS1
g9960	COF1.2
g9961	g9961
g9962	g9962
g9963	SF1
g9964	RNF19A
g9965	g9965
g9966	RNF19A.1
g9967	g9967
g9968	RPL19
g9969	MRTO4
g9972	g9972
g9973	g9973
g9974	RPN2
g9977	FGF1.1
g9978	PDCL3
g9979	DCTN4
g9980	TAF1A
g9981	g9981
g9982	g9982
g9983	ZNF474
g9984	g9984
g9985	rpl30
g9986	TUBE1
g9987	RPLP1
g9988	g9988
g9989	ADCY3
g9990	unc.10
g9991	g9991
g9992	g9992
g9994	C12orf66
g9995	ATP6V1H
g9996	g9996
g9998	g9998
g9999	g9999
g10000	g10000
g10001	g10001
g10002	g10002
g10003	PARP14.1
g10004	PARP14.2
g10005	PARP14.3
g10006	PARP14.4
g10007	PARP14.5
g10008	g10008
g10009	PARP14.6
g10010	PARP14.7
g10011	g10011
g10012	PARP14.8
g10013	g10013
g10014	PARP14.9
g10015	g10015
g10017	g10017
g10018	g10018
g10019	g10019
g10020	g10020
g10021	CREBL2
g10022	g10022
g10023	g10023
g10024	IRF1
g10025	g10025
g10026	PDIA6
g10027	SNX17
g10028	g10028
g10030	g10030
g10031	g10031
g10032	C19orf52
g10033	TMA16
g10034	GGCX
g10035	LYST
g10036	RNLS
g10037	g10037
g10038	g10038
g10039	g10039
g10040	g10040
g10042	g10042
g10043	cct.1
g10045	g10045
g10046	g10046
g10047	g10047
g10048	g10048
g10050	LAYN.1
g10051	g10051
g10052	g10052
g10053	g10053
g10055	PCSK5
g10057	g10057
g10058	g10058
g10059	g10059
g10060	g10060
g10061	GPR50.4
g10066	g10066
g10067	g10067
g10069	g10069
g10070	g10070
g10071	g10071
g10072	g10072
g10073	g10073
g10074	g10074
g10075	g10075
g10077	g10077
g10078	g10078
g10079	g10079
g10080	g10080
g10082	g10082
g10083	g10083
g10084	BTBD9
g10085	FURIN.1
g10086	FURIN.2
g10087	g10087
g10088	g10088
g10089	g10089
g10090	g10090
g10091	g10091
g10092	g10092
g10093	g10093
g10095	PCSK4
g10096	g10096
g10097	MRC1.1
g10098	g10098
g10099	ECHDC3
g10100	g10100
g10102	SSPO.3
g10103	g10103
g10106	KEX2
g10107	g10107
g10108	g10108
g10110	GPR50.5
g10111	PLA2G7
g10112	g10112
g10113	GPR50.6
g10114	g10114
g10115	PCSK5.1
g10117	ASAP1
g10118	TRIB1.1
g10119	g10119
g10120	PASK
g10121	g10121
g10122	g10122
g10123	g10123
g10124	g10124
g10125	g10125
g10126	ERGIC3
g10127	KCNQ4
g10132	g10132
g10133	N6AMT1
g10134	g10134
g10135	MSH6
g10136	ZBTB8OS
g10137	SKIP16
g10139	g10139
g10140	g10140
g10141	g10141
g10142	g10142
g10143	JUND
g10144	TRAPPC9
g10145	AIG1
g10146	g10146
g10147	g10147
g10148	g10148
g10149	g10149
g10150	g10150
g10151	g10151
g10152	g10152
g10154	CD97
g10156	g10156
g10157	g10157
g10159	GPR126
g10160	GPR133.2
g10161	g10161
g10162	GPR126.1
g10163	g10163
g10164	GPR126.2
g10165	g10165
g10166	g10166
g10167	g10167
g10168	g10168
g10169	g10169
g10170	g10170
g10171	g10171
g10172	g10172
g10173	g10173
g10174	CHST11.1
g10175	g10175
g10176	RFC1
g10177	g10177
g10178	NPC1L1
g10180	NPC1
g10182	g10182
g10183	g10183
g10188	NPC1.1
g10189	CENPE
g10190	FBXO9
g10191	TDP2
g10192	g10192
g10193	g10193
g10194	g10194
g10195	g10195
g10196	g10196
g10197	REC114
g10198	KIAA0319L
g10199	g10199
g10200	g10200
g10201	g10201
g10202	g10202
g10203	g10203
g10204	g10204
g10205	LCN1.3
g10206	g10206
g10208	g10208
g10209	g10209
g10210	RRAGD
g10211	g10211
g10212	g10212
g10213	KCNA2.3
g10214	KCNA2.4
g10216	g10216
g10217	CHID1
g10218	Poxn
g10219	g10219
g10222	g10222
g10223	GPR50.7
g10224	GPR50.8
g10225	g10225
g10226	GPR50.9
g10227	GPR50.10
g10228	GPR50.11
g10229	MFAP3L
g10230	g10230
g10231	g10231
g10234	HMCN1.4
g10235	NFASC
g10236	LCN1.4
g10237	g10237
g10239	PXDN.3
g10240	admp
g10241	MTNR1A.3
g10242	g10242
g10247	NDUFV1
g10249	g10249
g10250	ADI1
g10252	PFKP
g10253	LCN1.5
g10254	g10254
g10255	recQ.4
g10256	EIF2B1
g10257	GP2
g10258	g10258
g10259	g10259
g10260	g10260
g10263	GP2.1
g10265	g10265
g10266	MUC4
g10267	GP2.2
g10268	g10268
g10269	g10269
g10270	g10270
g10271	KIAA1958.4
g10272	g10272
g10274	g10274
g10275	g10275
g10277	g10277
g10278	g10278
g10286	g10286
g10291	g10291
g10292	g10292
g10298	MS4A4A
g10299	g10299
g10300	g10300
g10301	MS4A4A.1
g10303	g10303
g10304	ZC2HC1B
g10305	SNRNP40
g10306	g10306
g10307	RAD21
g10308	g10308
g10309	g10309
g10310	g10310
g10311	g10311
g10312	g10312
g10313	g10313
g10314	kctd3
g10315	g10315
g10316	GP2.3
g10317	g10317
g10318	g10318
g10320	g10320
g10321	g10321
g10322	NELL2
g10323	g10323
g10325	g10325
g10326	g10326
g10327	SDC2
g10328	CYP46A1
g10329	FNIP2
g10330	g10330
g10331	g10331
g10332	FNIP2.1
g10333	g10333
g10334	g10334
g10336	g10336
g10337	g10337
g10338	g10338
g10339	TNR.22
g10340	TNR.23
g10341	g10341
g10342	g10342
g10343	g10343
g10344	g10344
g10345	E2F3
g10346	g10346
g10347	g10347
g10348	g10348
g10349	g10349
g10350	g10350
g10351	g10351
g10352	g10352
g10353	g10353
g10354	g10354
g10355	g10355
g10356	BMP1
g10357	SCUBE2
g10358	g10358
g10359	g10359
g10360	g10360
g10361	g10361
g10362	SCUBE1.1
g10363	g10363
g10364	g10364
g10365	g10365
g10366	g10366
g10367	g10367
g10368	g10368
g10369	g10369
g10370	g10370
g10371	g10371
g10372	GGPS1
g10373	CYP4V2
g10374	CYP4V2.1
g10375	CFL1
g10376	MA20_39770
g10377	CYP4V2.2
g10378	CYP4V2.3
g10379	CYP4V2.4
g10380	g10380
g10382	g10382
g10383	g10383
g10384	g10384
g10385	g10385
g10386	NRP2.2
g10387	NFU1
g10388	Gsc
g10390	g10390
g10391	HIF1AN.1
g10393	g10393
g10394	g10394
g10395	g10395
g10398	g10398
g10399	g10399
g10400	g10400
g10401	g10401
g10402	g10402
g10403	g10403
g10406	g10406
g10407	g10407
g10408	g10408
g10409	g10409
g10410	g10410
g10412	g10412
g10413	g10413
g10414	g10414
g10415	g10415
g10416	g10416
g10417	g10417
g10418	g10418
g10419	g10419
g10420	g10420
g10421	CES5A
g10422	g10422
g10423	g10423
g10424	g10424
g10426	DNAJC27
g10427	HCRTR2.3
g10430	g10430
g10432	g10432
g10433	g10433
g10434	g10434
g10437	g10437
g10438	g10438
g10440	CRB2.4
g10441	g10441
g10442	g10442
g10444	g10444
g10445	SLC25A32
g10446	g10446
g10449	g10449
g10450	g10450
g10451	HMCN1.5
g10452	hmcn2.1
g10453	hmcn2.2
g10454	HMCN2.1
g10455	HMCN1.6
g10456	HMCN1.7
g10457	g10457
g10459	HMCN1.8
g10460	HMCN1.9
g10461	HMCN2.2
g10462	HSPG2.1
g10463	HSPG2.2
g10464	HMCN2.3
g10465	hmcn2.3
g10466	GP2.4
g10467	HMCN1.10
g10468	TMEM241
g10469	g10469
g10470	g10470
g10471	DYRK4
g10472	POLB
g10473	OGDHL
g10474	g10474
g10475	ADAMTSL1.1
g10476	C10orf53
g10477	g10477
g10479	CYP46A1.1
g10480	g10480
g10481	CYP46A1.2
g10482	g10482
g10483	gcm
g10484	g10484
g10485	g10485
g10486	g10486
g10488	g10488
g10489	C2orf50
g10490	EF1a.F2
g10491	AP5S1
g10492	SLC2A8
g10493	SLC2A8.1
g10494	AP5S1.1
g10495	SLC2A8.2
g10496	SLC2A8.3
g10497	AP5S1.2
g10498	g10498
g10499	g10499
g10501	g10501
g10502	SLC2A8.4
g10503	g10503
g10504	ARL14EP
g10505	g10505
g10508	g10508
g10509	g10509
g10510	g10510
g10511	unc.22.2
g10512	g10512
g10517	g10517
g10519	FBXW2
g10520	ELP6
g10521	g10521
g10522	pcmW
g10523	ITFG2
g10524	KCTD6
g10525	Nurf.38
g10528	HMO1
g10529	ADRM1
g10530	NPC1.2
g10531	NADSYN1
g10532	coaE
g10533	g10533
g10534	g10534
g10535	g10535
g10536	g10536
g10537	g10537
g10538	g10538
g10539	g10539
g10540	g10540
g10541	cyp17a2
g10542	FAM188B
g10543	FAA2
g10544	g10544
g10545	ACSL5
g10546	ACSL5.1
g10547	ACSL5.2
g10548	g10548
g10549	ACSL1
g10550	g10550
g10551	g10551
g10552	g10552
g10554	g10554
g10555	g10555
g10557	g10557
g10558	g10558
g10560	g10560
g10561	ACSL1.1
g10562	g10562
g10563	g10563
g10564	ACSL1.2
g10565	ACSL5.3
g10568	ACSL6
g10569	HADH
g10570	g10570
g10571	g10571
g10572	g10572
g10573	g10573
g10574	OPN4
g10575	g10575
g10576	TTC32
g10577	GTF2H5
g10578	TIMM23
g10579	NAF1
g10581	g10581
g10582	STAU1
g10583	ABHD3
g10584	VTI1A
g10585	Tcf
g10586	CRIP2
g10587	crip1
g10588	CRIP1
g10589	g10589
g10590	SKP1
g10591	MAF.4
g10592	PTRHD1
g10593	PFKL
g10595	g10595
g10596	LKAAEAR1
g10597	DCAF13
g10598	CASR
g10599	g10599
g10600	g10600
g10602	FGF1.2
g10603	FGF6
g10604	g10604
g10605	g10605
g10606	g10606
g10607	g10607
g10608	GRIK1
g10609	F58A4.6
g10610	SLA1
g10611	POLR2K
g10613	FBXO16
g10616	CHRAC1
g10617	GEMIN7
g10619	PEF1
g10621	Fdh
g10622	IPMK
g10623	g10623
g10624	g10624
g10625	METAP1
g10626	PRDM14
g10628	EPHX1
g10629	SLC25A16
g10630	ARHGAP18
g10631	CCDC28A
g10632	MCCC2
g10633	C21orf58
g10634	ACAT1
g10636	g10636
g10637	g10637
g10638	PUM2
g10639	PSMD10
g10641	g10641
g10642	RPLP0
g10643	g10643
g10644	g10644
g10645	SULF1
g10646	KAL1
g10647	ADAM17
g10648	Cyp1
g10649	PRDM14.1
g10650	SRRT
g10651	GBF1
g10652	NCOA4
g10653	LAS1L
g10654	g10654
g10655	g10655
g10656	g10656
g10657	g10657
g10658	CRB1
g10659	g10659
g10660	g10660
g10661	MEP1B.1
g10662	HSPG2.3
g10663	MEP1B.2
g10664	g10664
g10666	g10666
g10667	g10667
g10668	AAK1
g10669	SMO
g10670	g10670
g10671	TSEN2
g10674	g10674
g10675	g10675
g10676	g10676
g10677	g10677
g10679	HS1BP3
g10680	MTMR9
g10681	UQCC2
g10682	FEM1B.1
g10683	FEM1B.2
g10684	B3GAT3
g10685	B3GAT1.1
g10686	MIB2.1
g10687	g10687
g10688	g10688
g10689	g10689
g10690	g10690
g10691	g10691
g10692	g10692
g10693	g10693
g10694	ACOX1
g10695	ACOX1.1
g10696	g10696
g10697	XRCC5
g10698	g10698
g10699	FZD7
g10700	g10700
g10701	g10701
g10702	HMCN2.4
g10703	HMCN1.11
g10704	g10704
g10705	g10705
g10706	FAXC.2
g10707	FAXC.3
g10708	FAXC.4
g10710	g10710
g10711	g10711
g10712	FAXC.5
g10714	g10714
g10715	g10715
g10716	g10716
g10717	g10717
g10718	g10718
g10719	g10719
g10720	HMCN1.12
g10721	FAXC.6
g10722	FAXC.7
g10725	g10725
g10726	g10726
g10727	FAXC.8
g10728	FAXC.9
g10729	g10729
g10730	g10730
g10731	FAXC.10
g10732	g10732
g10733	g10733
g10734	g10734
g10737	HMCN1.13
g10738	HMCN1.14
g10739	g10739
g10740	FAXC.11
g10741	FAXC.12
g10743	FAXC.13
g10744	RAPSN.3
g10745	FAXC.14
g10746	FAXC.15
g10747	FAXC.16
g10748	FAXC.17
g10749	FAXC.18
g10750	FAXC.19
g10751	FAXC.20
g10753	TRMT11
g10754	g10754
g10756	gcs.1.1
g10757	NAT8L
g10764	g10764
g10765	NAT8L.1
g10766	NAT8L.2
g10768	g10768
g10769	Vmn2r65
g10770	Vmn2r65.1
g10771	NAT8L.3
g10775	SNED1.1
g10776	g10776
g10778	g10778
g10779	EREG
g10780	g10780
g10782	g10782
g10784	g10784
g10785	PREP
g10786	TNIP1
g10788	g10788
g10789	ADAMTSL1.2
g10790	g10790
g10795	g10795
g10796	g10796
g10799	g10799
g10800	g10800
g10801	g10801
g10802	g10802
g10803	g10803
g10804	g10804
g10805	KIAA1958.5
g10807	g10807
g10808	g10808
g10809	g10809
g10810	g10810
g10811	ZGRF1
g10812	ALDH8A1
g10813	g10813
g10814	PTP4A1
g10815	PSMF1
g10816	CCDC73
g10817	g10817
g10818	CASR.1
g10819	g10819
g10822	ACSM3.2
g10823	g10823
g10824	g10824
g10825	g10825
g10826	JAG1
g10828	g10828
g10829	g10829
g10831	UNC45A
g10832	g10832
g10833	g10833
g10835	g10835
g10836	TMCC2
g10837	g10837
g10838	g10838
g10839	POLR3B.2
g10840	g10840
g10841	g10841
g10842	g10842
g10843	g10843
g10844	g10844
g10845	g10845
g10847	g10847
g10848	g10848
g10849	g10849
g10850	g10850
g10851	g10851
g10852	g10852
g10853	g10853
g10854	g10854
g10855	g10855
g10856	g10856
g10857	g10857
g10858	g10858
g10860	HMCN2.5
g10861	g10861
g10862	MEP1B.3
g10863	g10863
g10864	g10864
g10865	HABP2
g10866	FAT4.3
g10867	g10867
g10868	g10868
g10869	g10869
g10870	NPTX1.4
g10871	Ten.m
g10873	GP2.5
g10874	g10874
g10875	g10875
g10876	g10876
g10881	g10881
g10882	g10882
g10884	DDX54
g10885	IRS1
g10886	g10886
g10888	g10888
g10889	PHTF1
g10890	ESYT3
g10891	ESYT3.1
g10892	g10892
g10893	NAT8
g10894	g10894
g10895	g10895
g10897	g10897
g10899	g10899
g10901	g10901
g10902	NAT8L.4
g10903	NAT8L.5
g10904	g10904
g10906	NPFFR2.1
g10907	GPR50.12
g10908	g10908
g10909	GPR50.13
g10910	PARVA
g10911	NAT8L.6
g10912	g10912
g10913	g10913
g10914	g10914
g10915	g10915
g10916	g10916
g10917	g10917
g10918	g10918
g10919	g10919
g10920	g10920
g10921	g10921
g10922	g10922
g10923	g10923
g10924	HMCN2.6
g10925	g10925
g10926	g10926
g10928	g10928
g10929	g10929
g10930	g10930
g10931	g10931
g10932	EXOSC6
g10933	g10933
g10934	g10934
g10935	g10935
g10936	g10936
g10938	g10938
g10939	g10939
g10941	g10941
g10942	EXOSC6.1
g10943	g10943
g10944	g10944
g10945	g10945
g10946	g10946
g10947	EXOSC6.2
g10948	THEG.1
g10949	LACTB2
g10950	CYP46A1.3
g10951	ORC5
g10952	CCDC162P
g10953	GTF3C2
g10954	g10954
g10955	GP2.6
g10956	UMOD
g10957	IRF1.1
g10958	IRF1.2
g10959	FAM208A
g10960	g10960
g10961	TTC38
g10962	IGSF9B
g10963	TTC38.1
g10964	g10964
g10965	g10965
g10966	TTC38.2
g10967	IGSF9B.1
g10969	g10969
g10970	ARAP1.4
g10971	g10971
g10972	TTC38.3
g10973	g10973
g10974	g10974
g10975	PKD1L2.7
g10976	g10976
g10977	g10977
g10978	g10978
g10979	g10979
g10980	g10980
g10981	g10981
g10982	g10982
g10984	g10984
g10986	CAND1
g10988	g10988
g10989	g10989
g10990	recQ2.1
g10991	g10991
g10992	PARP14.10
g10993	g10993
g10994	g10994
g10996	g10996
g10999	g10999
g11000	g11000
g11002	g11002
g11005	g11005
g11008	g11008
g11010	g11010
g11011	g11011
g11012	BCHE
g11013	g11013
g11014	ATR
g11015	g11015
g11016	WDR35
g11017	g11017
g11018	RDM1
g11019	g11019
g11020	GHITM
g11021	g11021
g11024	g11024
g11025	g11025
g11026	CPB2
g11027	GRIA3
g11028	FRK
g11029	g11029
g11030	FRK.1
g11031	COL13A1
g11032	FRK.2
g11033	g11033
g11034	g11034
g11036	g11036
g11037	g11037
g11038	PLG.3
g11039	g11039
g11040	g11040
g11042	g11042
g11044	GRIK5
g11045	GRIK4
g11046	g11046
g11047	KYNU
g11048	g11048
g11049	g11049
g11050	g11050
g11052	g11052
g11053	GPR50.14
g11054	g11054
g11055	g11055
g11056	MIB2.2
g11057	g11057
g11058	GPR84
g11059	g11059
g11060	g11060
g11063	g11063
g11064	SEMA5A
g11065	g11065
g11066	g11066
g11067	g11067
g11068	SLC12A8
g11069	PTPLB
g11072	DNALI1
g11074	g11074
g11076	g11076
g11077	g11077
g11078	g11078
g11079	g11079
g11080	g11080
g11081	g11081
g11082	g11082
g11083	g11083
g11084	g11084
g11086	g11086
g11087	ZDHHC6
g11088	LIG4
g11089	g11089
g11090	g11090
g11091	g11091
g11093	EBAG9
g11097	UBR5
g11098	CRB1.1
g11099	ANGPT4.1
g11100	MORN2
g11101	g11101
g11102	g11102
g11103	NUPL2
g11104	SLC35F4
g11109	g11109
g11111	TMEM18
g11112	g11112
g11113	g11113
g11114	g11114
g11116	g11116
g11117	g11117
g11118	g11118
g11119	g11119
g11120	g11120
g11121	g11121
g11122	g11122
g11123	g11123
g11125	g11125
g11126	g11126
g11127	g11127
g11128	g11128
g11129	g11129
g11130	g11130
g11131	g11131
g11132	g11132
g11133	g11133
g11134	g11134
g11135	g11135
g11136	g11136
g11137	g11137
g11138	g11138
g11139	epi.1
g11140	g11140
g11143	CAP1
g11144	g11144
g11145	g11145
g11147	g11147
g11148	g11148
g11149	g11149
g11150	g11150
g11152	SNED1.2
g11153	g11153
g11154	g11154
g11155	g11155
g11156	g11156
g11157	g11157
g11158	g11158
g11159	g11159
g11160	g11160
g11161	THAP2.1
g11162	g11162
g11163	g11163
g11164	g11164
g11165	g11165
g11168	NMD3
g11170	g11170
g11171	g11171
g11173	g11173
g11174	g11174
g11177	g11177
g11179	g11179
g11180	g11180
g11182	g11182
g11184	HSD17B11
g11185	g11185
g11186	SMNDC1
g11188	ZNF408
g11189	ZNF407.1
g11190	g11190
g11192	g11192
g11193	g11193
g11194	g11194
g11195	g11195
g11196	g11196
g11198	SETD4
g11199	g11199
g11201	RBBP8
g11202	g11202
g11203	g11203
g11204	g11204
g11205	g11205
g11206	GPR133.3
g11207	g11207
g11208	g11208
g11210	PRPF6
g11211	KCNK9
g11212	HSPG2.4
g11217	NCAM2.1
g11220	HMCN1.15
g11221	HMCN2.7
g11223	HSPG2.5
g11224	IGDCC3
g11226	PABPC4
g11227	FBXO43
g11228	g11228
g11229	MCM3
g11231	g11231
g11232	g11232
g11234	OIT3.1
g11235	g11235
g11236	g11236
g11237	UMOD.1
g11238	AGO1
g11239	AGO1.1
g11241	AGO2
g11242	SDHA
g11243	WBSCR16
g11244	ZNF706
g11245	DOHH
g11247	ROBO1
g11248	g11248
g11249	CCDC60
g11254	g11254
g11258	g11258
g11259	g11259
g11260	recQ.5
g11278	g11278
g11279	CMC1
g11280	g11280
g11281	IZH3
g11282	ENDOD1.3
g11284	NELFE.1
g11286	g11286
g11287	STAM2
g11289	HMGCL
g11290	NAPRT
g11291	g11291
g11292	g11292
g11293	SLC30A2
