Protein_ID	COG_category
evm.model.Ap12.1426	U
evm.model.Ap12.1665	S
evm.model.Ap12.1658	E
evm.model.Ap12.606	S
evm.model.Ap12.602	L
evm.model.Ap12.1389	S
evm.model.Ap12.1388	K
evm.model.Ap12.1385	DT
evm.model.Ap12.1384	S
evm.model.Ap12.54	L
evm.model.Ap12.56	K
evm.model.Ap12.2472	KOT
evm.model.Ap12.2473	E
evm.model.Ap12.2471	S
evm.model.Ap12.2476	J
evm.model.Ap12.2477	W
evm.model.Ap12.2474	AD
evm.model.Ap12.2475	J
evm.model.Ap12.1075	S
evm.model.Ap12.1332	K
evm.model.Ap12.1333	K
evm.model.Ap12.2679	E
evm.model.Ap12.2675	E
evm.model.Ap12.2670	KL
evm.model.Ap12.2671	D
evm.model.Ap12.2672	I
evm.model.Ap12.1909	L
evm.model.Ap12.2750	Q
evm.model.Ap12.922	S
evm.model.Ap12.920	S
evm.model.Ap12.461	S
evm.model.Ap12.466	I
evm.model.Ap12.110	T
evm.model.Ap12.111	O
evm.model.Ap12.2829	T
evm.model.Ap12.2828	E
evm.model.Ap12.2825	O
evm.model.Ap12.2824	G
evm.model.Ap12.2823	G
evm.model.Ap12.295_evm.model.Ap12.296	E
evm.model.Ap12.358	L
evm.model.Ap12.353	D
evm.model.Ap12.1128	J
evm.model.Ap12.687	-
evm.model.Ap12.680	T
evm.model.Ap12.1121	S
evm.model.Ap12.168	PT
evm.model.Ap12.1549	J
evm.model.Ap12.1548	DU
evm.model.Ap12.1543	S
evm.model.Ap12.1542	J
evm.model.Ap12.1541	O
evm.model.Ap12.1540	ET
evm.model.Ap12.1547	K
evm.model.Ap12.1547.1.5f15e511	K
evm.model.Ap12.1546	J
evm.model.Ap12.2168	J
evm.model.Ap12.2169	S
evm.model.Ap12.2164	P
evm.model.Ap12.2165	S
evm.model.Ap12.2166	A
evm.model.Ap12.2167	S
evm.model.Ap12.2160	L
evm.model.Ap12.2163	Z
evm.model.Ap12.2788	K
evm.model.Ap12.2781	T
evm.model.Ap12.2786	K
evm.model.Ap12.2787	K
evm.model.Ap12.128	C
evm.model.Ap12.1789	M
evm.model.Ap12.1788	O
evm.model.Ap12.1788.2.5f15e588	O
evm.model.Ap12.1788.1.5f15e588	O
evm.model.Ap12.1785	J
evm.model.Ap12.1787	S
evm.model.Ap12.1781	L
evm.model.Ap12.1780	L
evm.model.Ap12.1783	G
evm.model.Ap12.1782	G
evm.model.Ap12.529	E
evm.model.Ap12.523	O
evm.model.Ap12.520	T
evm.model.Ap12.527	Q
evm.model.Ap12.526	Q
evm.model.Ap12.525	P
evm.model.Ap12.524	Q
evm.model.Ap12.2412	O
evm.model.Ap12.1992	K
evm.model.Ap12.1993	S
evm.model.Ap12.1998	S
evm.model.Ap12.1999	S
evm.model.Ap12.2086	S
evm.model.Ap12.2081	U
evm.model.Ap12.2080	U
evm.model.Ap12.2089	-
evm.model.Ap12.1459	J
evm.model.Ap12.1458	J
evm.model.Ap12.2338	S
evm.model.Ap12.2335	S
evm.model.Ap12.2334	P
evm.model.Ap12.2337	DZ
evm.model.Ap12.2330	G
evm.model.Ap12.2333	P
evm.model.Ap12.1451	T
evm.model.Ap12.1450	UY
evm.model.Ap12.101	S
evm.model.Ap12.100	S
evm.model.Ap12.103	P
evm.model.Ap12.105	L
evm.model.Ap12.104	S
evm.model.Ap12.108	T
evm.model.Ap12.203	BK
evm.model.Ap12.201	OT
evm.model.Ap12.207	T
evm.model.Ap12.196	J
evm.model.Ap12.198.1.5f15e1ee	GM
evm.model.Ap12.198	GM
evm.model.Ap12.2539	S
evm.model.Ap12.2538	S
evm.model.Ap12.2536	S
evm.model.Ap12.2535	S
evm.model.Ap12.2533	S
evm.model.Ap12.2531	J
evm.model.Ap12.2270	TU
evm.model.Ap12.2271	T
evm.model.Ap12.2272	T
evm.model.Ap12.2273	P
evm.model.Ap12.2275	DTZ
evm.model.Ap12.2277	-
evm.model.Ap12.841	L
evm.model.Ap12.844	Z
evm.model.Ap12.845	Z
evm.model.Ap12.846	S
evm.model.Ap12.847	Z
evm.model.Ap12.843	Z
evm.model.Ap12.1169	J
evm.model.Ap12.1169.2.5f15e444	J
evm.model.Ap12.1169.1.5f15e444	J
evm.model.Ap12.1609	J
evm.model.Ap12.251	U
evm.model.Ap12.250	U
evm.model.Ap12.253	U
evm.model.Ap12.252	U
evm.model.Ap12.255	L
evm.model.Ap12.254	U
evm.model.Ap12.256	T
evm.model.Ap12.1024	S
evm.model.Ap12.1025	T
evm.model.Ap12.1026	O
evm.model.Ap12.1023	U
evm.model.Ap12.1023.1.5f15e3f9	U
evm.model.Ap12.1028	K
evm.model.Ap12.1029	S
evm.model.Ap12.2578_evm.model.Ap12.2579	-
evm.model.Ap12.2578_evm.model.Ap12.2579.1.5f169082	-
evm.model.Ap12.631	S
evm.model.Ap12.2006	S
evm.model.Ap12.2005	I
evm.model.Ap12.2004	S
evm.model.Ap12.2002	-
evm.model.Ap12.2001	S
evm.model.Ap12.639	H
evm.model.Ap12.638	H
evm.model.Ap12.1582	T
evm.model.Ap12.772	L
evm.model.Ap12.773	U
evm.model.Ap12.771	-
evm.model.Ap12.777	U
evm.model.Ap12.774	S
evm.model.Ap12.775	S
evm.model.Ap12.779	S
evm.model.Ap12.2401_evm.model.Ap12.2399	P
evm.model.Ap12.84	J
evm.model.Ap12.2237	T
evm.model.Ap12.1619	-
evm.model.Ap12.1618	H
evm.model.Ap12.1617	-
evm.model.Ap12.1615	S
evm.model.Ap12.1922	-
evm.model.Ap12.1929	S
evm.model.Ap12.17	O
evm.model.Ap12.10	S
evm.model.Ap12.11	K
evm.model.Ap12.12	S
evm.model.Ap12.13	K
evm.model.Ap12.2777_evm.model.Ap12.2778.2.5f169125	-
evm.model.Ap12.2777_evm.model.Ap12.2778	-
evm.model.Ap12.2777_evm.model.Ap12.2778.1.5f169124	-
evm.model.Ap12.2421	L
evm.model.Ap12.2422	S
evm.model.Ap12.2425	O
evm.model.Ap12.2424	O
evm.model.Ap12.2426	O
evm.model.Ap12.1684	T
evm.model.Ap12.1685	L
evm.model.Ap12.1680	L
evm.model.Ap12.1681	C
evm.model.Ap12.1689	L
evm.model.Ap12.1354	T
evm.model.Ap12.1891	E
evm.model.Ap12.2621	C
evm.model.Ap12.2620	C
evm.model.Ap12.1049	S
evm.model.Ap12.1329	F
evm.model.Ap12.1327	T
evm.model.Ap12.1324	S
evm.model.Ap12.440	T
evm.model.Ap12.443	S
evm.model.Ap12.444	S
evm.model.Ap12.1206	Q
evm.model.Ap12.1558	T
evm.model.Ap12.1559	O
evm.model.Ap12.1555	E
evm.model.Ap12.1477	J
evm.model.Ap12.1475	DT
evm.model.Ap12.1474	L
evm.model.Ap12.1473	-
evm.model.Ap12.1479	O
evm.model.Ap12.1478	T
evm.model.Ap12.124	Q
evm.model.Ap12.2814	O
evm.model.Ap12.2815	U
evm.model.Ap12.1166	C
evm.model.Ap12.2810	U
evm.model.Ap12.2811	O
evm.model.Ap12.1935	L
evm.model.Ap12.2813	-
evm.model.Ap12.2818	V
evm.model.Ap12.2819	S
evm.model.Ap12.1160	L
evm.model.Ap12.1162	Z
evm.model.Ap12.1933	S
evm.model.Ap12.2132	KLT
evm.model.Ap12.2131	S
evm.model.Ap12.2130	T
evm.model.Ap12.2137	U
evm.model.Ap12.2138	KLT
evm.model.Ap12.734	S
evm.model.Ap12.735	O
evm.model.Ap12.2188	S
evm.model.Ap12.2188.1.5f15e64e	S
evm.model.Ap12.1280	-
evm.model.Ap12.1281	S
evm.model.Ap12.1282	UY
evm.model.Ap12.1282.1.5f15e47f	UY
evm.model.Ap12.1286	-
evm.model.Ap12.1287	T
evm.model.Ap12.1288	T
evm.model.Ap12.1289	S
evm.model.Ap12.981	C
evm.model.Ap12.983	C
evm.model.Ap12.982	C
evm.model.Ap12.985	C
evm.model.Ap12.984	C
evm.model.Ap12.987	C
evm.model.Ap12.231	T
evm.model.Ap12.577	T
evm.model.Ap12.570	M
evm.model.Ap12.571	-
evm.model.Ap12.573	Z
evm.model.Ap12.579	O
evm.model.Ap12.148	T
evm.model.Ap12.1843	Q
evm.model.Ap12.1491.1.5f15e4ea	S
evm.model.Ap12.1491	S
evm.model.Ap12.1490	S
evm.model.Ap12.1495	PT
evm.model.Ap12.1494	S
evm.model.Ap12.1947	I
evm.model.Ap12.1943	B
evm.model.Ap12.1942	S
evm.model.Ap12.1940	G
evm.model.Ap12.1949	I
evm.model.Ap12.2304	UY
evm.model.Ap12.2305	O
evm.model.Ap12.2306	-
evm.model.Ap12.2307	Q
evm.model.Ap12.976	S
evm.model.Ap12.978	S
evm.model.Ap12.979	S
evm.model.Ap12.1525	S
evm.model.Ap12.1448	Q
evm.model.Ap12.1409	G
evm.model.Ap12.1405	S
evm.model.Ap12.1401	K
evm.model.Ap12.1703	K
evm.model.Ap12.1702	E
evm.model.Ap12.1709.1.5f15e559	C
evm.model.Ap12.1709	C
evm.model.Ap12.1708	CH
evm.model.Ap12.2543	G
evm.model.Ap12.2540	T
evm.model.Ap12.2541	P
evm.model.Ap12.2	O
evm.model.Ap12.3	S
evm.model.Ap12.7	T
evm.model.Ap12.4	O
evm.model.Ap12.5	A
evm.model.Ap12.305	T
evm.model.Ap12.8	L
evm.model.Ap12.9	O
evm.model.Ap12.1532	O
evm.model.Ap12.1531	S
evm.model.Ap12.1535	O
evm.model.Ap12.426	T
evm.model.Ap12.427	O
evm.model.Ap12.421	O
evm.model.Ap12.1014	J
evm.model.Ap12.1710	T
evm.model.Ap12.1737	J
evm.model.Ap12.1730	O
evm.model.Ap12.1733	K
evm.model.Ap12.282	O
evm.model.Ap12.283	O
evm.model.Ap12.286	TZ
evm.model.Ap12.287	TZ
evm.model.Ap12.284.1.5f15e236	O
evm.model.Ap12.284	O
evm.model.Ap12.285	B
evm.model.Ap12.288	E
evm.model.Ap12.289	E
evm.model.Ap12.1716	U
evm.model.Ap12.2127_evm.model.Ap12.2128	T
evm.model.Ap12.1614	S
evm.model.Ap12.1612	J
evm.model.Ap12.1158	O
evm.model.Ap12.1155	PT
evm.model.Ap12.1156	G
evm.model.Ap12.1048	-
evm.model.Ap12.2386	S
evm.model.Ap12.1297	JK
evm.model.Ap12.628	Q
evm.model.Ap12.303	F
evm.model.Ap12.302	PT
evm.model.Ap12.301	O
evm.model.Ap12.307	-
evm.model.Ap12.304	O
evm.model.Ap12.2227	T
evm.model.Ap12.2226	T
evm.model.Ap12.2225	P
evm.model.Ap12.2224	P
evm.model.Ap12.2223	S
evm.model.Ap12.2221	P
evm.model.Ap12.2220	T
evm.model.Ap12.2229	P
evm.model.Ap12.2228	P
evm.model.Ap12.522	T
evm.model.Ap12.839	S
evm.model.Ap12.838	E
evm.model.Ap12.837	-
evm.model.Ap12.836	E
evm.model.Ap12.1824	J
evm.model.Ap12.1647	L
evm.model.Ap12.1822	-
evm.model.Ap12.1823	-
evm.model.Ap12.1648	L
evm.model.Ap12.663	I
evm.model.Ap12.665	I
evm.model.Ap12.2759	T
evm.model.Ap12.2758	S
evm.model.Ap12.2757	J
evm.model.Ap12.1390	O
evm.model.Ap12.895	T
evm.model.Ap12.63	G
evm.model.Ap12.62	L
evm.model.Ap12.2418	O
evm.model.Ap12.2419	O
evm.model.Ap12.2410	S
evm.model.Ap12.2411	BK
evm.model.Ap12.2413	O
evm.model.Ap12.2414	T
evm.model.Ap12.2415	S
evm.model.Ap12.2416	O
evm.model.Ap12.2417	O
evm.model.Ap12.1232	M
evm.model.Ap12.208	EF
evm.model.Ap12.209	S
evm.model.Ap12.107	Q
evm.model.Ap12.1587	L
evm.model.Ap12.1584	E
evm.model.Ap12.18	E
evm.model.Ap12.1328	DTZ
evm.model.Ap12.1321	-
evm.model.Ap12.1692	T
evm.model.Ap12.439	-
evm.model.Ap12.433	E
evm.model.Ap12.434	S
evm.model.Ap12.437	-
evm.model.Ap12.1053	K
evm.model.Ap12.475	P
evm.model.Ap12.477	S
evm.model.Ap12.470	T
evm.model.Ap12.473	U
evm.model.Ap12.472.1.5f15e2a7	Z
evm.model.Ap12.472	Z
evm.model.Ap12.1318	-
evm.model.Ap12.1314	E
evm.model.Ap12.2158	BK
evm.model.Ap12.2718	L
evm.model.Ap12.668	S
evm.model.Ap12.662	S
evm.model.Ap12.664	A
evm.model.Ap12.1133	O
evm.model.Ap12.1392	S
evm.model.Ap12.1393	K
evm.model.Ap12.1391	O
evm.model.Ap12.1139	K
evm.model.Ap12.1139.1.5f15e42f	K
evm.model.Ap12.600_evm.model.Ap12.603_evm.model.Ap12.607.1.5f1688d7	-
evm.model.Ap12.2492	G
evm.model.Ap12.2493	OT
evm.model.Ap12.158_evm.model.Ap12.161	S
evm.model.Ap12.2652	S
evm.model.Ap12.2650	O
evm.model.Ap12.92	S
evm.model.Ap12.93	T
evm.model.Ap12.1231	Q
evm.model.Ap12.1932	S
evm.model.Ap12.1449	KL
evm.model.Ap12.2352	P
evm.model.Ap12.2351	S
evm.model.Ap12.2350	S
evm.model.Ap12.132	A
evm.model.Ap12.133	F
evm.model.Ap12.214	T
evm.model.Ap12.210	IT
evm.model.Ap12.901	T
evm.model.Ap12.904	T
evm.model.Ap12.1194_evm.model.Ap12.1196	U
evm.model.Ap12.1486	S
evm.model.Ap12.1487	T
evm.model.Ap12.1484	S
evm.model.Ap12.1485	S
evm.model.Ap12.1482	K
evm.model.Ap12.1483	C
evm.model.Ap12.1488	S
evm.model.Ap12.178	S
evm.model.Ap12.172	Z
evm.model.Ap12.175	K
evm.model.Ap12.177	F
evm.model.Ap12.2594	J
evm.model.Ap12.2594.1.5f15e72a	J
evm.model.Ap12.2597	T
evm.model.Ap12.2596	T
evm.model.Ap12.2591	MU
evm.model.Ap12.2592	S
evm.model.Ap12.378	O
evm.model.Ap12.379	S
evm.model.Ap12.430_evm.model.Ap12.431_evm.model.Ap12.432	E
evm.model.Ap12.1561	S
evm.model.Ap12.1560	S
evm.model.Ap12.1563	S
evm.model.Ap12.1562	S
evm.model.Ap12.1565	E
evm.model.Ap12.1569	S
evm.model.Ap12.2142	O
evm.model.Ap12.2140	KLT
evm.model.Ap12.2146	S
evm.model.Ap12.213	S
evm.model.Ap12.315	T
evm.model.Ap12.1763	S
evm.model.Ap12.1762	L
evm.model.Ap12.1761	L
evm.model.Ap12.1760	L
evm.model.Ap12.1766	P
evm.model.Ap12.1765.2.5f15e57a	Z
evm.model.Ap12.1765.1.5f15e57a	Z
evm.model.Ap12.1765.3.5f15e57a	Z
evm.model.Ap12.1765	Z
evm.model.Ap12.1764	Z
evm.model.Ap12.1769	T
evm.model.Ap12.1768	S
evm.model.Ap12.504	IOT
evm.model.Ap12.507	S
evm.model.Ap12.506	M
evm.model.Ap12.501	M
evm.model.Ap12.319	T
evm.model.Ap12.503	T
evm.model.Ap12.508	S
evm.model.Ap12.1050	T
evm.model.Ap12.1057	O
evm.model.Ap12.1056	K
evm.model.Ap12.1059	O
evm.model.Ap12.1058	O
evm.model.Ap12.1705	BK
evm.model.Ap12.1704	-
evm.model.Ap12.1707	T
evm.model.Ap12.1149	T
evm.model.Ap12.714	L
evm.model.Ap12.713	L
evm.model.Ap12.2514	O
evm.model.Ap12.2517	Q
evm.model.Ap12.2516	O
evm.model.Ap12.2510	T
evm.model.Ap12.2512	T
evm.model.Ap12.98	O
evm.model.Ap12.99	T
evm.model.Ap12.90	L
evm.model.Ap12.994	C
evm.model.Ap12.2256	O
evm.model.Ap12.2252.1.5f15e673	I
evm.model.Ap12.2252	I
evm.model.Ap12.2252.2.5f15e674	I
evm.model.Ap12.2253	I
evm.model.Ap12.1606	S
evm.model.Ap12.1607	-
evm.model.Ap12.858	S
evm.model.Ap12.855	-
evm.model.Ap12.866	Z
evm.model.Ap12.863	OU
evm.model.Ap12.869	Z
evm.model.Ap12.1938	O
evm.model.Ap12.1939	O
evm.model.Ap12.1936	S
evm.model.Ap12.1937	G
evm.model.Ap12.1934	L
evm.model.Ap12.1931	S
evm.model.Ap12.1871	C
evm.model.Ap12.1870	KLT
evm.model.Ap12.1814	G
evm.model.Ap12.1817	T
evm.model.Ap12.1811	S
evm.model.Ap12.1813	Z
evm.model.Ap12.1813.1.5f15e599	Z
evm.model.Ap12.2728	H
evm.model.Ap12.632	S
evm.model.Ap12.585	L
evm.model.Ap12.584	IQ
evm.model.Ap12.586	E
evm.model.Ap12.580	O
evm.model.Ap12.1362	O
evm.model.Ap12.1361	O
evm.model.Ap12.1360	G
evm.model.Ap12.1368	G
evm.model.Ap12.2028	-
evm.model.Ap12.47	S
evm.model.Ap12.45	O
evm.model.Ap12.43	S
evm.model.Ap12.42	DTZ
evm.model.Ap12.40	K
evm.model.Ap12.798	IT
evm.model.Ap12.799	O
evm.model.Ap12.794	Q
evm.model.Ap12.795	U
evm.model.Ap12.797	A
evm.model.Ap12.989	C
evm.model.Ap12.1172	P
evm.model.Ap12.1173	L
evm.model.Ap12.1170	T
evm.model.Ap12.1171	S
evm.model.Ap12.1176	S
evm.model.Ap12.1179	J
evm.model.Ap12.1027	E
evm.model.Ap12.1020	O
evm.model.Ap12.1303	A
evm.model.Ap12.1225	L
evm.model.Ap12.1225.1.5f15e468	L
evm.model.Ap12.2724	S
evm.model.Ap12.2191	T
evm.model.Ap12.2190	O
evm.model.Ap12.2193	T
evm.model.Ap12.2193.1.5f15e653	T
evm.model.Ap12.2195	K
evm.model.Ap12.2194	U
evm.model.Ap12.2197	-
evm.model.Ap12.2196	C
evm.model.Ap12.2445	I
evm.model.Ap12.2444	J
evm.model.Ap12.2449	O
evm.model.Ap12.726	DZ
evm.model.Ap12.1279	S
evm.model.Ap12.1276	S
evm.model.Ap12.1270	Z
evm.model.Ap12.1273.1.5f15e477	T
evm.model.Ap12.1273	T
evm.model.Ap12.1272	S
evm.model.Ap12.2609.1.5f15e736	T
evm.model.Ap12.2609	T
evm.model.Ap12.2608	Z
evm.model.Ap12.2604	O
evm.model.Ap12.2606.2.5f15e732	T
evm.model.Ap12.2606	T
evm.model.Ap12.2606.1.5f15e731	T
evm.model.Ap12.469	T
evm.model.Ap12.1439	S
evm.model.Ap12.348	S
evm.model.Ap12.347	S
evm.model.Ap12.345	L
evm.model.Ap12.344	L
evm.model.Ap12.699	S
evm.model.Ap12.698	S
evm.model.Ap12.693	-
evm.model.Ap12.692	-
evm.model.Ap12.696	A
evm.model.Ap12.1550	S
evm.model.Ap12.1551	C
evm.model.Ap12.1552	TZ
evm.model.Ap12.1553	H
evm.model.Ap12.1556	-
evm.model.Ap12.2113	W
evm.model.Ap12.2114	DY
evm.model.Ap12.2117	U
evm.model.Ap12.1019	D
evm.model.Ap12.1018	I
evm.model.Ap12.1016	U
evm.model.Ap12.1012	S
evm.model.Ap12.1012.1.5f15e3f5	S
evm.model.Ap12.1792	F
evm.model.Ap12.1793	Q
evm.model.Ap12.1790	G
evm.model.Ap12.1791	P
evm.model.Ap12.1797	O
evm.model.Ap12.1794	Q
evm.model.Ap12.1795	A
evm.model.Ap12.558	Z
evm.model.Ap12.559	P
evm.model.Ap12.556	C
evm.model.Ap12.557	L
evm.model.Ap12.554	T
evm.model.Ap12.555	T
evm.model.Ap12.552	O
evm.model.Ap12.550	T
evm.model.Ap12.551	T
evm.model.Ap12.661	O
evm.model.Ap12.1965	B
evm.model.Ap12.2090	J
evm.model.Ap12.2328	O
evm.model.Ap12.2329	G
evm.model.Ap12.2327	-
evm.model.Ap12.1930	S
evm.model.Ap12.325	T
evm.model.Ap12.327	T
evm.model.Ap12.320	T
evm.model.Ap12.953	DT
evm.model.Ap12.951	DT
evm.model.Ap12.1294	-
evm.model.Ap12.2622	C
evm.model.Ap12.2624	T
evm.model.Ap12.188	T
evm.model.Ap12.184	-
evm.model.Ap12.1189	K
evm.model.Ap12.1188	L
evm.model.Ap12.1183	K
evm.model.Ap12.1182	I
evm.model.Ap12.1187	S
evm.model.Ap12.1185	H
evm.model.Ap12.2529	T
evm.model.Ap12.2524	E
evm.model.Ap12.2525	E
evm.model.Ap12.2526	E
evm.model.Ap12.2527	T
evm.model.Ap12.2522	F
evm.model.Ap12.2523	S
evm.model.Ap12.377	S
evm.model.Ap12.374	V
evm.model.Ap12.372	K
evm.model.Ap12.810	O
evm.model.Ap12.1972	S
evm.model.Ap12.1175	S
evm.model.Ap12.852	S
evm.model.Ap12.851	Z
evm.model.Ap12.850	L
evm.model.Ap12.672	Z
evm.model.Ap12.674	S
evm.model.Ap12.1425	P
evm.model.Ap12.608	-
evm.model.Ap12.605	S
evm.model.Ap12.73	DZ
evm.model.Ap12.1718	Q
evm.model.Ap12.1719	S
evm.model.Ap12.268	S
evm.model.Ap12.265	T
evm.model.Ap12.266	T
evm.model.Ap12.267	S
evm.model.Ap12.1597	ET
evm.model.Ap12.2019	T
evm.model.Ap12.2015	F
evm.model.Ap12.2017	K
evm.model.Ap12.2010	O
evm.model.Ap12.2011	O
evm.model.Ap12.2013	S
evm.model.Ap12.1330	S
evm.model.Ap12.1331	K
evm.model.Ap12.1335	B
evm.model.Ap12.1336	K
evm.model.Ap12.1336.1.5f15e491	K
evm.model.Ap12.1337	O
evm.model.Ap12.2129	T
evm.model.Ap12.68	DUZ
evm.model.Ap12.373	L
evm.model.Ap12.764	C
evm.model.Ap12.766	J
evm.model.Ap12.761	Q
evm.model.Ap12.760	Q
evm.model.Ap12.763	DZ
evm.model.Ap12.769	E
evm.model.Ap12.768	T
evm.model.Ap12.448	L
evm.model.Ap12.2208	T
evm.model.Ap12.2205	T
evm.model.Ap12.2204	T
evm.model.Ap12.2207	T
evm.model.Ap12.2201	T
evm.model.Ap12.2201.1.5f15e656	T
evm.model.Ap12.2200	E
evm.model.Ap12.2202	L
evm.model.Ap12.1089	Q
evm.model.Ap12.1599	C
evm.model.Ap12.1802	E
evm.model.Ap12.1801	L
evm.model.Ap12.1806	O
evm.model.Ap12.1107	S
evm.model.Ap12.1105	T
evm.model.Ap12.1108	G
evm.model.Ap12.2775	L
evm.model.Ap12.2774	S
evm.model.Ap12.2771	S
evm.model.Ap12.2772	F
evm.model.Ap12.2779	-
evm.model.Ap12.762	S
evm.model.Ap12.1424	I
evm.model.Ap12.1034	L
evm.model.Ap12.1033	L
evm.model.Ap12.2439	T
evm.model.Ap12.2436	G
evm.model.Ap12.2432.1.5f15e6ca	S
evm.model.Ap12.2432	S
evm.model.Ap12.2433	BDT
evm.model.Ap12.2430	E
evm.model.Ap12.1593	S
evm.model.Ap12.1234	M
evm.model.Ap12.992_evm.model.Ap12.993	C
evm.model.Ap12.2630	O
evm.model.Ap12.2632	OT
evm.model.Ap12.2638	S
evm.model.Ap12.1226	Z
evm.model.Ap12.1224	DO
evm.model.Ap12.1223	A
evm.model.Ap12.127	T
evm.model.Ap12.123	T
evm.model.Ap12.122	S
evm.model.Ap12.229	O
evm.model.Ap12.593	S
evm.model.Ap12.594	T
evm.model.Ap12.595	O
evm.model.Ap12.1467	S
evm.model.Ap12.1460	O
evm.model.Ap12.1461	TU
evm.model.Ap12.1462	K
evm.model.Ap12.1463	-
evm.model.Ap12.2285	T
evm.model.Ap12.2284	T
evm.model.Ap12.2281	DTZ
evm.model.Ap12.2283	S
evm.model.Ap12.2282	S
evm.model.Ap12.2289	J
evm.model.Ap12.2288	S
evm.model.Ap12.390	G
evm.model.Ap12.396	T
evm.model.Ap12.397	T
evm.model.Ap12.16	I
evm.model.Ap12.642	A
evm.model.Ap12.643	U
evm.model.Ap12.640	H
evm.model.Ap12.641	T
evm.model.Ap12.646	S
evm.model.Ap12.644	S
evm.model.Ap12.645	S
evm.model.Ap12.2120	T
evm.model.Ap12.2121	T
evm.model.Ap12.2124	L
evm.model.Ap12.566	S
evm.model.Ap12.563	O
evm.model.Ap12.562	P
evm.model.Ap12.561	P
evm.model.Ap12.560	P
evm.model.Ap12.569	S
evm.model.Ap12.568	K
evm.model.Ap12.1046	J
evm.model.Ap12.1047	S
evm.model.Ap12.1044	O
evm.model.Ap12.1045	J
evm.model.Ap12.1042	K
evm.model.Ap12.1041	J
evm.model.Ap12.1952	S
evm.model.Ap12.2371	-
evm.model.Ap12.2370	T
evm.model.Ap12.2373	T
evm.model.Ap12.2372	K
evm.model.Ap12.2375	T
evm.model.Ap12.2377	S
evm.model.Ap12.963	S
evm.model.Ap12.967	S
evm.model.Ap12.333	-
evm.model.Ap12.968	G
evm.model.Ap12.330	T
evm.model.Ap12.336	S
evm.model.Ap12.337	T
evm.model.Ap12.335	S
evm.model.Ap12.459_evm.model.Ap12.460.1.5f1687ee	I
evm.model.Ap12.459_evm.model.Ap12.460.2.5f1687ee	I
evm.model.Ap12.459_evm.model.Ap12.460	I
evm.model.Ap12.152	-
evm.model.Ap12.153	-
evm.model.Ap12.2573	L
evm.model.Ap12.2571	-
evm.model.Ap12.2577	-
evm.model.Ap12.2576	O
evm.model.Ap12.2575	I
evm.model.Ap12.2574	I
evm.model.Ap12.474	J
evm.model.Ap12.1672	S
evm.model.Ap12.310	T
evm.model.Ap12.312	T
evm.model.Ap12.314	K
evm.model.Ap12.1677	T
evm.model.Ap12.889	D
evm.model.Ap12.883	S
evm.model.Ap12.884	T
evm.model.Ap12.885.1.5f15e3a4	S
evm.model.Ap12.885	S
evm.model.Ap12.886	S
evm.model.Ap12.887	O
evm.model.Ap12.1903	G
evm.model.Ap12.1902	T
evm.model.Ap12.1507	S
evm.model.Ap12.1506	B
evm.model.Ap12.1504	O
evm.model.Ap12.1502	E
evm.model.Ap12.1501	PT
evm.model.Ap12.1500	E
evm.model.Ap12.1509	I
evm.model.Ap12.1508	I
evm.model.Ap12.1167	O
evm.model.Ap12.1168	A
evm.model.Ap12.370	D
evm.model.Ap12.1085	Z
evm.model.Ap12.1088	O
evm.model.Ap12.1370	G
evm.model.Ap12.425	-
evm.model.Ap12.1527.1.5f15e503	K
evm.model.Ap12.1527	K
evm.model.Ap12.1526	O
evm.model.Ap12.1521	DT
evm.model.Ap12.1520	DT
evm.model.Ap12.1523	DT
evm.model.Ap12.677	L
evm.model.Ap12.1522	DT
evm.model.Ap12.2041	J
evm.model.Ap12.2045	E
evm.model.Ap12.2049	K
evm.model.Ap12.738	S
evm.model.Ap12.739	IT
evm.model.Ap12.2776	L
evm.model.Ap12.484	O
evm.model.Ap12.484.1.5f15e2b2	O
evm.model.Ap12.485	V
evm.model.Ap12.487.1.5f15e2b7	S
evm.model.Ap12.480	J
evm.model.Ap12.481	P
evm.model.Ap12.482	S
evm.model.Ap12.483	S
evm.model.Ap12.488	O
evm.model.Ap12.736	K
evm.model.Ap12.737	J
evm.model.Ap12.732	S
evm.model.Ap12.730	S
evm.model.Ap12.731	S
evm.model.Ap12.2076	U
evm.model.Ap12.2077	L
evm.model.Ap12.2234	T
evm.model.Ap12.2235	L
evm.model.Ap12.2235.1.5f15e669	L
evm.model.Ap12.2230	P
evm.model.Ap12.2232	P
evm.model.Ap12.2233	S
evm.model.Ap12.2239	S
evm.model.Ap12.1148	O
evm.model.Ap12.1147	O
evm.model.Ap12.1146	B
evm.model.Ap12.1145	T
evm.model.Ap12.1144	T
evm.model.Ap12.1143	S
evm.model.Ap12.1140	S
evm.model.Ap12.931	S
evm.model.Ap12.800	Z
evm.model.Ap12.802	J
evm.model.Ap12.803	O
evm.model.Ap12.807	U
evm.model.Ap12.808	Q
evm.model.Ap12.809	D
evm.model.Ap12.1640	E
evm.model.Ap12.1851	E
evm.model.Ap12.1850	E
evm.model.Ap12.1853	Q
evm.model.Ap12.1855	S
evm.model.Ap12.1856	S
evm.model.Ap12.2745	S
evm.model.Ap12.2740	S
evm.model.Ap12.2741	T
evm.model.Ap12.1605	J
evm.model.Ap12.1002	L
evm.model.Ap12.1003	L
evm.model.Ap12.711.1.5f168944	C
evm.model.Ap12.711	C
